orden localidad latitud longitud altitud
01 "Ayabaca" -4.637756 -79.71077 2648        
02 "bernal"  -5.454494   -80.74262 11      
03 "Chulucanas" -5.108444 -80.16954 89      
04 "Chusis" -5.527564 -80.81275 8         
05 "Hacienda Bigote" -5.320889 -79.78569 198
06 "Hacienda Sumaya" -5.364919 -79.35993 1975 
07 "Huarmaca"  -5.564194 -79.52544 2171     
08 "La esperanza" -4.921136 -81.05969 7    
09 "LANCONES" -4.642897 -80.54716 136       
10 "MALLARES" -4.868611 -80.73556 44        
11 "Miraflores" -5.175278 -80.61654 34     
12 "Morropon"  -5.194644 -79.97107 128       
13 "pananga"-4.515564 -80.73944 360         
14 "Porculla" -5.839639 -79.50572 2142        
15 "San Miguel" -5.246203 -80.68436 24     
16 "San Pedro"  -5.079539 -80.0162 240    
17 "Sapillica" -4.796389 -79.99972 1406       
18 "Sausal de Culucan" -4.752375 -79.75792 997
19 "Sondorillo"  -5.339794 -79.43137 1917     
20 "Tuluce" -5.477175 -79.34742 2209
